n,p,q,tau,B,mle.shape.1,mle.scale.1,mle.shape.2,mle.scale.2,mle.shape.3,mle.scale.3,mle.shape.4,mle.scale.4,mle.shape.5,mle.scale.5,coverages.shape.1,coverages.scale.1,coverages.shape.2,coverages.scale.2,coverages.shape.3,coverages.scale.3,coverages.shape.4,coverages.scale.4,coverages.shape.5,coverages.scale.5,lowers.shape.1,lowers.scale.1,lowers.shape.2,lowers.scale.2,lowers.shape.3,lowers.scale.3,lowers.shape.4,lowers.scale.4,lowers.shape.5,lowers.scale.5,uppers.shape.1,uppers.scale.1,uppers.shape.2,uppers.scale.2,uppers.shape.3,uppers.scale.3,uppers.shape.4,uppers.scale.4,uppers.shape.5,uppers.scale.5,convergence,bias.shape.1,bias.scale.1,bias.shape.2,bias.scale.2,bias.shape.3,bias.scale.3,bias.shape.4,bias.scale.4,bias.shape.5,bias.scale.5,var.shape.1,var.scale.1,var.shape.2,var.scale.2,var.shape.3,var.scale.3,var.shape.4,var.scale.4,var.shape.5,var.scale.5,mse.shape.1,mse.scale.1,mse.shape.2,mse.scale.2,mse.shape.3,mse.scale.3,mse.shape.4,mse.scale.4,mse.shape.5,mse.scale.5,loglik
100,0.25,0.75,311.586721566695,1000,1.48604264838217,752.989025709762,1.11325061408838,892.644249671757,1.14949905134936,496.977303304682,2.27613628949879,526.543369968965,0.722730240109863,3198.72441199615,True,True,True,True,True,False,True,False,True,True,-2.52524667260409,-439147.545945184,-0.558856478892218,-13031.9865689688,0.749382613395703,171.772893246169,0.350053546795953,66.977022260778,-2.10118579564034,-48331.2450222642,4.75182247688582,424294.929650875,2.355766264022,12286.8606470431,1.46777158070976,778.851328813259,3.855721087354,894.826146961724,2.83913733222499,45439.1571343583,0,0.372811041864832,8179.29743421742,0.214753787409642,1265.18825762375,0.0410715136647436,21.686016521084,0.173466074141469,45.6480653380062,0.353732161205445,4644.78196562087,3.44288342921064,48470347498.103,0.552298690673316,41677069.1952703,0.033552788778629,23960.6683221667,0.799007341552014,44556.5650350473,1.58679208558506,571664037.173441,3.58187150214698,48537248404.6203,0.598417879880101,43277770.5224993,0.0352396580133422,24430.9516347194,0.829097820430068,46640.3109041501,1.71191852745613,593238036.681597,-579.352589234326
100,0.25,0.5,175.362296728008,1000,1.28696360285268,1302.0928447127,0.398162709711307,4074766.91607589,0.767136101843519,1884.7675376755,1.32569926252256,515.120553199935,1.20327358219537,1219.00474426538,True,True,True,True,False,True,True,False,True,True,-10.9281978670161,-15443.8434475989,-2.53853354002254,-27605390.2262307,0.328581266133356,-5326.41930215454,0.465939384253519,99.2348963582153,-2.30870500269832,-5130.63699579606,12.1825234901078,14509.4960010788,2.32092718042206,28980910.9727355,1.11970602719176,7356.13940440534,2.04142740383809,861.594495797776,4.13333158032783,6143.4451538627,0,0.661189721312985,1765.65160296116,0.506935766746535,3393124.48797022,0.0422587770224893,876.489387660887,0.07130854626339,35.0524906543071,0.291583531125495,711.080081767678,34.724525311231,58331052.3046052,1.53527248606479,208176608367153.0,0.0406910849729729,10457384.5217582,0.161376214941867,37785.8382583077,2.6980853782925,8263646.0076639,35.161697158801,61448577.8876445,1.79225635767169,219689902158016.0,0.0424768892084094,11225618.1684403,0.166461123712065,39014.515359378,2.78310633391611,8769280.89035063,-339.278790239263
100,0.25,1.0,inf,1000,1.22063024137815,1077.80135908249,1.00820975703687,1092.80228014216,0.902748512586159,1441.04029575557,0.915740527194571,1496.65809928603,1.56361262449162,634.070047212118,True,True,True,True,True,True,True,True,True,True,-15.288805451095,-908.061925894337,-7.34875909954378,-524.376939535107,0.0561159214835091,-4525.760188685,0.272529412080034,-1706.19904672027,0.923068340490881,374.206367408536,16.6913061785892,2660.6141423398,8.75958799237792,2387.02749338046,1.52602855683964,6474.65330241016,1.4914359493902,4055.78372538637,2.1103286718554,862.121325029118,0,0.519329077543099,201.541097900561,0.30268682548977,161.429822901982,0.111601511569134,466.506590954308,0.0337299702485208,321.867080249993,0.0467890410624367,15.890526282386,66.4919800001008,827987.102358692,16.8698520072219,551079.673860616,0.140472839432521,7867329.41316872,0.0965939948096701,2158505.82869157,0.0916434076913329,15477.3847621938,66.7616826908826,868605.916501656,16.961471321547,577139.261582781,0.152927736817036,8084957.81257253,0.0977317057026362,2262104.24604022,0.0938326220548753,15729.893587725,-738.624428668523
100,0.25,0.25,84.3982322621413,1000,1.29802684681873,484.762382701283,1.07949064540004,906.089617634399,1.58553328992452,535.512381066943,0.934900684611689,785.452634708372,4.55280949799332,2766.61974888482,True,True,True,True,True,True,True,True,True,False,-0.372107055509907,-2340.42406576461,-1.5519493088643,-35357.2219731723,-24.6938060357184,-3797.72723351748,-11.8957867569184,-32620.95438405,0.0586683407212858,2452.32055813291,2.67681404539162,2852.79863309838,2.76737867745254,31501.8758670806,18.7499950750196,3992.40908247754,12.2472634801527,31194.9061605762,8.73307513274786,3070.43195705901,0,0.145763580590021,228.568392165159,0.471810686436661,2833.73765713997,4.55735031688312,438.171506924402,0.759153775675579,1498.45767119722,0.15694821455412,5.24520671380783,0.604368313778059,1753408.90632777,1.21294659978671,290623239.340204,122.705759654201,3945476.21279773,37.8960191332841,264768658.398569,4.892027441204,24839.49832579,0.625615335204483,1805652.41622474,1.43555192362255,298653308.449697,143.475201564996,4137470.48227813,38.4723335884065,267014033.790938,4.91666018325573,24867.0105192606,-222.524324676819
100,0.5,0.75,311.586721566695,1000,1.95815304925748,701.240208604298,0.641181762497426,3410.27625254089,1.55970370732145,398.532077839333,1.5780927529433,615.639051005893,1.54516152543946,728.062485229259,True,True,True,True,True,False,True,True,True,True,-485.491530387969,-252462.475624127,-3.25158943762551,-60591620.4393184,1.05385016325448,179.783702729951,-707.06419655002,-354093.750860273,-33.0127290200651,-15811.3641340273,453.699288728651,235882.026380105,3.60224717926167,57793039.1010052,1.99661771284073,579.488893144351,667.481777796729,334115.792774927,32.8907491951592,15605.2121200083,0,17.8536760132074,8991.60391191704,0.465857619739921,1402700.26324806,0.0353546024388619,18.76208430795,21.3697817768674,10604.7278519379,1.6051583091179,831.225320911113,57347.8303718357,15504648325.3773,3.05405468892498,911171597847169.0,0.0577854588156088,10386.9703187478,122836.61930653,30792907438.2948,282.374833035414,64169258.8861295,57666.5841190203,15585497266.2861,3.27107801079473,913139165875685.0,0.0590354067292188,10738.9861263265,123293.286879721,30905367691.1084,284.951366232744,64860194.4202533,-549.116058718543
100,0.5,0.5,175.362296728008,1000,1.03883530398372,747.228562641394,4.10971825630353,1956.03869955924,1.31210868305159,379.730713903756,1.08072227590246,1561.8671831416,3.87479840095884,2808.58023167197,True,True,True,True,True,False,True,True,True,False,-3.37162351380395,-4770.78587392406,-0.242001151049581,-2585.55165783387,-0.67874169323072,-53.8017562400047,-45.8192187486714,-53272.1913189915,-0.717022962986584,1563.05620323113,4.58151548956486,5469.12719396963,8.81729798799277,1584.00320813245,3.07046400723303,777.285667861878,35.7041884881488,43935.9787238597,8.34305099280363,4057.44551385625,0,0.326097030979529,708.498393368215,0.385710731786827,816.850800103137,0.0529654650941902,53.758153310798,6.12729247480342,6289.8608281182,0.457022302300752,98.3992996819125,4.11231582429676,6817134.36924557,5.33578738031013,1130286.91723584,0.913877220638028,44905.8308575804,432.089745815188,614348567.522264,5.33670012955433,404517.941298977,4.21865509791042,7319104.34265092,5.48456014892566,1797532.14686497,0.916682561130672,47795.7699049677,469.633458886971,653910916.75936,5.54556951435461,414200.363476867,-344.069112960801
100,0.5,1.0,inf,1000,1.39379572080492,873.419874773895,1.38085960230933,1672.0489953984,0.882748368276913,1112.40830352565,1.19719285953558,2657.87704087221,1.62317249445026,581.696064372409,True,True,True,True,True,True,True,True,True,False,0.520433723790706,-70538.339596742,-20.6349468321919,-1150908.88706151,0.167741183026839,-21640.7278614147,-33.9362306582718,-1080182.22316265,-3.1447744095783,325.451103655857,2.1707099284998,68891.111224203,20.1992320349315,1107604.4384867,1.48197421352441,20485.3614660492,32.9875974809772,1004575.2570529,6.04321138019889,802.674122821928,0,0.0480066344589232,1698.0310057879,1.60138192032088,23316.3240472137,0.0569658667487172,1692.25328292405,1.67567127725239,40426.8985584998,0.174011888754737,17.9479359582992,0.177060868492248,1263916398.10451,108.406910716765,331630625049.651,0.112293358495549,115374970.640913,291.186251297004,282566320519.532,5.48845293719924,14806.4888126829,0.17936550544432,1266799707.40113,110.971334771496,332174276016.725,0.115538468469982,118238691.81448,293.994125526413,284200654646.591,5.51873307462723,15128.6172178461,-702.643606751704
100,0.5,0.25,84.3982322621413,1000,4.26022841524196,2341.10695147757,1.36656862339009,978.227804059354,1.33117409120048,450.263130013853,4.2456737943666,2489.28002598233,1.79144146187617,293.828959469054,True,False,True,True,True,True,False,False,True,True,0.363295050193375,1764.58540807542,-80.3266837331889,-25934.3303329113,-9.50159539815082,-1605.50781607682,1.99178307179155,2103.79110624907,-8.33766585223202,-1599.7522039997,7.6302577115549,2993.70104410003,68.4437511046644,22985.2681486885,9.38398549592177,2083.43762325104,6.02538753577798,2793.74255721586,10.7058983168556,1886.97687342235,0,0.26350121363073,-38.0371920556697,7.30818735580276,2453.13910560334,1.39042011139336,210.911016798472,0.238073231249909,40.6791716041665,0.608526086925392,149.976552885671,3.43332702742394,98218.8402842723,1438.93964972706,155587636.108862,23.1883587181387,884736.162122064,1.05778141622656,30948.9827877792,23.5779358725778,790397.798503964,3.50275991700881,99665.6682637522,1492.34925215458,161605527.580303,25.1216268043058,929219.61912903,1.11446027966433,32603.7777901804,23.9482398710465,812890.764919432,-158.494430762657
100,0.0,0.75,311.586721566695,1000,1.37964917763203,823.13292006432,0.913949255979531,1267.4846032501,1.25376365479561,572.347093176351,0.894157178813581,1531.15548346708,1.44129248183839,1007.77940230488,True,True,True,True,True,True,True,True,True,True,0.628251616494583,-168.600721248822,0.56076572051226,-878.569904535617,0.822248399980715,260.204723933926,0.161705968522664,-5224.04316906466,-0.333318242298692,-1570.40517816656,2.00831715005342,1597.75151425565,1.23277309123175,2929.86459184676,1.61800141793885,843.807429998373,1.48634170761625,6797.10532778591,2.76021302962402,3124.3221149531,0,0.0614258953150221,108.543908492517,0.0171604467565855,241.796664691888,0.0336725137312995,20.3532881644563,0.0700844542033093,744.579665986409,0.227844209977182,230.808192800377,0.123825113378172,202844.828302011,0.0293600903623314,942979.595529278,0.0411685815370521,22143.3797867537,0.11407809267665,9395096.36251054,0.622183279899502,1432946.76060248,0.127598253993424,214626.608372843,0.029654571295217,1001445.2225854,0.0423024197180366,22557.6361258591,0.118989923397626,9949495.24151097,0.674096263919629,1486219.18246626,-604.909340284545
100,0.0,0.5,175.362296728008,1000,1.76370888087891,547.624730854864,0.989066619441162,829.641571650688,1.87273975955073,542.707371754053,1.06289588930065,1264.30298489974,1.20752918176008,1079.47962316633,True,False,True,True,True,True,True,True,True,True,0.740955287065822,77.2540693974304,0.43442303222881,-909.636567534595,-2.19053173890766,-7264.06686768865,0.533435045620089,-71023.9478630711,-0.143321301098013,-8117.12525318414,2.56232611822112,942.205220360783,1.4621140946681,2236.2379854266,4.91376071025417,7744.36328128243,1.50657653494215,70483.8733426543,2.23479047629069,8925.77236284502,0,0.111972933219189,37.8907408026529,0.0407964893437087,166.376415331469,0.511112413118381,302.550622765532,0.0428608714039469,1534.36555007,0.161803303771762,675.141466367653,0.215678110033725,48639.8779698637,0.068664849744968,643416.384096459,3.28133806617924,14644678.8228454,0.0615688855484576,1301877745.7124,0.367683247031932,18884095.3616464,0.228216047807434,50075.5862084376,0.0703292032877393,671097.495675009,3.54257396502294,14736215.7021812,0.0634059398459633,1304232023.35364,0.393863556143389,19339911.3612555,-403.394845640348
100,0.0,1.0,inf,1000,1.36603095981357,963.079851100489,1.49946406375469,593.457570956898,1.30336284275252,783.384146299401,1.27827432214536,695.467309199219,1.31594039504106,1188.50578517281,True,True,True,False,True,True,True,True,True,True,0.941213936635367,292.037670974962,0.894383049390686,375.192265978216,0.836784776833938,334.975764244275,0.872017695521337,378.169644390027,0.749133772838692,-120.407329479607,1.71735114122492,1542.15458119778,1.98015547459339,799.658720325807,1.70010170545064,1174.3082211187,1.6356985324001,973.684297238207,1.77030527925267,2252.34692281602,0,0.0367570762907415,45.9772231154971,0.0621816526522044,6.02999877898122,0.0349624126013115,28.7307271462315,0.0243820471468115,19.5342759090447,0.0562250173323451,122.546973660073,0.0391639348146781,101603.945910171,0.0766455474692835,11713.7529970337,0.0484562530714827,45801.2520138467,0.0379169242330939,23056.5444400049,0.0677964090526186,366028.443982444,0.0405150174721215,103717.850955584,0.0805121053958429,11750.1138823082,0.049678623366387,46626.7066961979,0.0385114084561632,23438.1323752956,0.0709576616266411,381046.204735686,-788.388929983484
100,0.0,0.25,84.3982322621413,1000,0.620544051738158,8421.20386602784,1.2828715010806,510.50751865877,1.90888528619001,259.893029468615,1.36915221981897,415.960185157581,1.28103996977071,738.922557001815,True,True,True,True,True,False,True,True,True,True,-0.826641061444931,-397903320.719359,0.0898454217663802,-1595.97954811866,0.989544631303052,-127.529246886337,-0.479222236973464,-2423.56832403177,-20.7675400196268,-13869.2025974969,1.66108694189588,371558350.329127,2.23783403682275,2195.92489193967,2.69776520322507,573.715226802212,2.75557350014699,2826.36739736915,20.7436545047437,13284.2048495343,0,0.203327576782301,13180906.4188891,0.119146672942563,210.526830388615,0.0651749408293986,36.8076009372851,0.231066224979733,214.558056033879,1.29299258324018,1031.38127266802,0.402360282679687,3.849313630301e+16,0.299966851817543,934811.578993839,0.189713051791124,31970.4109165802,0.680304022857059,1791914.5134027,112.031403427763,47935580.1291274,0.44370238615985,3.866687259703352e+16,0.314162781490825,979133.125307316,0.193960824703239,33325.2104033387,0.733695623183444,1837949.67281174,113.703233248077,48999327.4587377,-279.090509695497
100,0.75,0.75,311.586721566695,1000,1.4161594434443,599.942892775779,5.1615495429872,4209.85693934532,1.44481714107851,648.335340074268,0.810124343536842,803.020734077506,1.5279767397302,678.883765508986,True,True,False,False,True,True,True,True,True,True,-15.0722299886252,-29805.9139701095,4.23408184833259,3908.72554145052,-17.374826520683,-15912.6625352838,-1.80990738435344,-27408.0247464643,-12.1931889931296,-14561.3732350454,16.1077616602094,26646.6914384733,5.88128455295883,4443.84161625062,16.9293498746232,14553.8648736523,2.98912910483624,23407.5995159534,12.1922989881752,12382.2360444736,0,0.898416833267545,2179.57250305183,0.103892935919233,33.581988808633,1.66749706747571,1327.74789270022,0.220570416639816,2803.2124308734,1.52848140050645,1768.44818472557,63.2064361922983,207194057.607031,0.176401960810819,18616.8118446906,76.5073762673903,60346936.3039757,1.49732963095984,167881888.230414,38.6609228284615,47197702.5381294,64.0135889985968,211944593.90309,0.187195702944737,19744.5618170337,79.2879227374304,62109850.7705456,1.5459809396565,175739888.163017,40.9971782201557,50325111.5201886,-497.923696271561
100,0.75,0.5,175.362296728008,1000,2.84654686985984,506.231392495184,0.924922497002907,2709.81480693584,1.11054699890325,491.868693641731,0.942596691792544,887.06573095733,0.923830329604522,10542.5859321933,True,True,True,True,True,True,True,True,True,True,-306.930833438402,-49350.7645138769,-5.06795781894732,-455652.411188114,-4.82091180966299,-2002.95975461979,-3.98267462240454,-6208.14733383678,-20.2616559429272,-429054.015839862,292.307095815341,47577.8045646934,4.02426579741827,440481.439326092,6.27970302228931,2259.86048712801,4.25055872052972,5421.32710278762,18.4981839811586,429258.502484226,0,10.1583709019759,1392.7023332327,1.44676725393798,10295.3057376261,0.381209302768102,363.432199373432,0.808664599397517,1280.4897238942,1.80558460964318,10440.359302912,23345.7539508154,610819534.596731,5.37464187529567,52210166736.5016,8.01130714551488,1181417.37451718,4.4070721767941,8792846.50069573,97.672716004712,47896106211.5292,23448.9464501975,612759154.385722,7.4677773623629,52316160056.7328,8.15662767803182,1313500.33805859,5.06101061111284,10432500.4336944,100.932851787292,48005107313.9031,-331.851962412279
100,0.75,1.0,inf,1000,0.997173262789155,885.133171425495,1.43697005001927,467.04746140058,4.56993369660699,10389.7423433501,1.37919411722245,699.186380235808,12.9134576322407,15285.449093724,True,True,True,True,False,False,True,True,False,False,-0.763885871657557,-13753.6785814539,-66.1162837974447,-107.182619701361,4.31765850761015,9813.57320913629,-70.1549706819428,-16966.4728223783,12.9134576310522,15285.4490932326,2.39166129852627,14041.529878924,66.7285594224217,975.507491559586,4.81994709235712,10978.9603325495,70.2091370192405,17033.6462252138,12.9134576334743,15285.4490942344,0,0.183203028831361,741.198113448414,1.13087228488639,32.907232400848,0.0011410887106276,-6.51707133585788,1.35188133530171,665.564223953265,-2.25827e-11,-9.4973183e-09,0.647379090186008,50228381.7012936,1147.35738691032,76210.9991155403,0.0164027222670582,88297.7719923055,1280.91836765168,75157130.4717583,0.0,6.52e-14,0.680942439958993,50777756.3446731,1148.63625903504,77293.8850598237,0.0164040243505037,88340.2442111022,1282.74595079641,75600106.2079648,0.0,6.53e-14,-665.086960166185
100,0.75,0.25,84.3982322621413,1000,3.31259868534055,195.805806444938,0.562545650404084,4211.6700281426,2.07616526536936,302.97376645876,1.80229014223907,459.496691933427,1.74967969482152,695.060660000164,True,True,True,True,True,True,True,True,True,True,-20321.7622031771,-1851848.5703083,-1.6569112369414,-192573284.362848,-6566.6793466152,-3480817.22968253,-16689.8391067763,-3031370.91752995,-18525.5810732532,-4665021.52837483,18637.6163324277,1718928.99683271,2.13652713041053,170971144.391305,6050.64831851882,3298851.51039976,15410.1290287545,2813973.71354987,17189.3240157903,4329960.26196367,0,845.377870633704,66655.9849642117,0.315061039067202,10805679.9860488,260.086957943706,91285.2019934295,641.636834790219,109158.542886528,669.863962586758,168242.593650163,98680957.7741795,828962548872.374,0.935568044801609,8592594199841516.0,10350088.8513501,2988314235575.14,66991317.257033,2221414272252.29,82929360.3389199,5260292475067.3,99395621.5183366,833405569203.923,1.03483150313971,8709356919802412.0,10417734.0770425,2996647223678.12,67403015.0847926,2233329859737.4,83378078.0672924,5288598045385.43,-183.708907280432
200,0.25,0.75,311.586721566695,1000,0.953417504023958,1588.65455726643,1.57491579406315,757.341687279914,0.993456416255895,1462.32190602466,1.1678481953953,843.104500551911,1.52649380449898,628.815122791915,True,True,True,True,True,True,True,True,True,True,0.0557187768836561,-16378.302340762,-0.352052622560331,-1117.8432396621,-0.887507095252108,-80310.7652139258,0.57214230633348,-332.360954042206,0.956939130420431,252.184386939818,1.65561932005508,18206.189188515,3.02605961568869,2274.30697584009,2.17549833590305,77491.7705383996,1.68322742545936,1790.51216263976,2.04589518961367,932.436748987133,0,0.0979238113346312,674.617913087203,0.237832928388727,179.10966156688,0.349733531099018,2871.9351625352,0.0401392565716855,114.089077481044,0.024879012995034,36.498068245567,0.166416079518855,77762838.4851711,0.741920659835007,748099.67632101,0.609964905684005,1618964292.65113,0.0802608910680825,292993.097765914,0.0770956769842944,30084.9595409271,0.176005152345156,78217947.8138292,0.798485161660965,780179.947187613,0.732278448458992,1627212304.22894,0.0818720509862101,306009.415366389,0.0777146422719014,31417.0685265852,-1113.74794737978
200,0.25,0.5,175.362296728008,1000,0.839719476836641,3090.0649851186,1.21990870008957,912.966035480197,0.859776010788659,1581.05949502175,1.08150162894214,1037.58213340979,2.26739207328851,514.103770527497,True,True,True,True,True,True,True,True,True,True,-0.728529546171621,-282573.303101677,0.563463702588234,-673.100716150468,0.426589191751759,-9291.1361502623,-2.49218432476701,-915.300258555224,0.199490032369879,-1175.90304414871,1.98259568350976,265024.692792755,1.78875022028299,2157.27845701328,1.2269808147396,10696.6599549582,4.28978668147504,2629.7981869625,4.04205664903941,1878.32825529726,0,0.212680560483526,11864.5037847403,0.0438475605262817,170.889047013943,0.0329952954929998,878.330450748782,0.182696045115185,180.337501431882,0.146875634010443,162.90332526174,0.47786857504808,19495438811.4697,0.0976078225357032,520833.073525512,0.041649940378856,25974017.9304205,2.99034414681527,817082.510281548,0.959957764344474,606475.361097391,0.523101595855667,19636205261.5278,0.0995304310998091,550036.139914846,0.0427386299035264,26745482.3111331,3.023721991716,849604.124704243,0.981530216210443,633012.854478723,-702.381129064435
200,0.25,1.0,inf,1000,1.48861136833341,854.528414238755,0.889687078581412,1192.5493295385,1.39822613482892,678.580873485088,1.35492289938374,820.35061574202,1.12956206528074,1292.74318679177,True,True,True,True,True,True,True,True,True,True,1.05777174679304,385.053932243392,0.569573227333337,-145.081389639997,0.978226614498459,453.663382313019,0.927590710837903,434.981253018113,0.830651456890359,122.222108593233,1.89049647525192,1230.90342319201,1.16599585730324,2250.61590235527,1.74874428812562,875.113526499609,1.73315829039915,1149.80066994746,1.4091537871307,2210.15871231979,0,0.0144729595909952,46.5202862552855,0.0219031647820342,139.655601691346,0.0347702105751397,14.2118374322758,0.0244286845864931,27.9350422303512,0.009763217149819,126.545211855709,0.0450829408336831,46515.2649903687,0.0231269063508054,373141.19563584,0.0385988641015339,11547.8658039344,0.0421903641542734,33220.1811763896,0.0217580284439313,283428.769199526,0.0452924073930057,48679.4020236424,0.0236066549782744,392644.882719611,0.0398078316449734,11749.8421271358,0.0427871247848997,34000.5477608011,0.0218533488530459,299442.459843132,-1474.56897986995
200,0.25,0.25,84.3982322621413,1000,4.53835293057747,161.178568551398,1.43500943653138,630.706410903331,0.908639572511437,882.767738215483,0.769477000971666,6064.34635059796,1.15901487703174,1439.10555487678,True,True,True,True,True,True,True,True,True,True,-39.5956956105619,-1154.58947009762,-1.49710847366987,-2303.35606880837,0.160423277026393,-1424.54549694578,-2.21201492648194,-33729428.3587507,-10.5760650910521,-189024.722044017,33.8291453355009,1160.29288079078,3.72574910412192,2966.8584044155,1.53841187655373,2802.4606748076,2.72670622853818,31847772.6663319,11.0741138820362,176636.282423859,0,7.41363397716472,158.506514664808,0.320797381478534,299.002142563436,0.0573485672420316,198.723255562929,0.502420396048618,947353.524868474,0.92776229973401,7556.32697459381,350.505908827723,348391.188610272,1.77347749309565,1805784.38611056,0.12345269182816,1161649.41679889,1.58576317082538,279585772327344.0,30.4741988118314,8692938571.84519,405.467877575094,373515.503801457,1.87638845305913,1895186.66736809,0.126741549992874,1201140.34910042,1.83818942519103,280483251028425.0,31.3349416966391,8750036649.19217,-392.008624481328
