"n","p","q","tau","B","mle.1","mle.2","mle.3","mle.4","mle.5","mle.6","mle.7","mle.8","mle.9","mle.10","coverages.1","coverages.2","coverages.3","coverages.4","coverages.5","coverages.6","coverages.7","coverages.8","coverages.9","coverages.10","lowers.1","lowers.2","lowers.3","lowers.4","lowers.5","lowers.6","lowers.7","lowers.8","lowers.9","lowers.10","uppers.1","uppers.2","uppers.3","uppers.4","uppers.5","uppers.6","uppers.7","uppers.8","uppers.9","uppers.10","convergence","bias.1","bias.2","bias.3","bias.4","bias.5","bias.6","bias.7","bias.8","bias.9","bias.10","var.1","var.2","var.3","var.4","var.5","var.6","var.7","var.8","var.9","var.10","mse.1","mse.2","mse.3","mse.4","mse.5","mse.6","mse.7","mse.8","mse.9","mse.10","loglik"
25,0,1,Inf,500,2.24512994175391,587.778857930913,1.19048770692743,576.773080713057,1.07351698407598,719.548215207845,0.478371436518604,29622.535361611,1.20542202681689,649.944787508763,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.5137441015394,-124.480327629865,0.539803349937373,92.1402088531826,0.308550812449051,143.320565141433,-0.466875435842018,1278.39225084279,0.520732130789856,150.560664379802,3.06987828759924,938.680264740301,1.5870889912755,1035.0184100363,1.66380381924311,1208.10710630471,1.73228129150813,2518.03779020235,1.74572094720298,1091.06337717332,0,-0.162381486387819,150.813817888344,0.0849497804349969,31.226891283047,0.104932498735868,38.2202039445959,0.257287243686959,-214.160545377417,0.07283531379539,33.17934033155,0.157278172864638,73412.8541351065,0.0712368432942176,57741.1671629904,0.119293045725547,73637.5743109959,0.314113593046038,99808.9327982465,0.0974627397454404,57450.5873465873,0.183645919986156,96157.661801165,0.0784533084901718,58716.2859021936,0.1303038750165,75098.3583005624,0.380310318810071,145673.671994599,0.102767722681113,58551.4559714241,-190.824717792543
25,0,1,Inf,500,0.768324201495344,4197.49642208302,1.58155444307352,398.420200395449,1.39865251907776,848.295828896632,1.11342261118886,737.15443787971,1.16559806009622,524.772754503463,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.00654172007841314,696.075136979912,0.195874137080907,137.749145140556,0.376664924039218,232.216067040603,0.503855134823592,355.810940333156,0.539828067614974,217.135161543972,1.88017369984497,1674.71958290483,2.18211798163601,603.93696631028,1.74347354749391,1338.12996353923,1.5142438188341,1300.26198505345,1.58507032870411,908.472613886776,0,0.203286905122017,33.1079004402418,0.135098994064312,34.5370178921761,0.222645377793202,79.0146878718022,0.0788920019487699,-15.6820005757053,0.0525129123192102,11.4491388618479,0.228004253432273,62204.8488771709,0.256235616766388,14115.4983407169,0.121336031996493,79435.9325681446,0.0663057688333379,57933.9673983962,0.0709591311850232,31042.3461717355,0.26932981922636,63300.9819487318,0.274487354963578,15308.3039456014,0.170906996249171,85679.2534676229,0.0725297168048226,58179.8925404526,0.0737167371452683,31173.4289524133,-189.030363394576
25,0,1,Inf,500,1.53371160633456,866.432366219837,1.10844641947728,613.570162941092,1.27526658055432,1074.97319641844,0.986955174519406,681.496904842631,1.7907335413456,565.143408419419,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.244084521819977,312.295080980506,0.611274334630948,174.020803987144,0.596555120247034,388.057243415809,0.240403238209106,307.209345311925,0.700892389080423,123.933250174352,2.21065012445771,1560.56802107327,1.38835347590366,1071.22415569528,1.70608565782175,1505.7615443559,1.5496061704886,1155.9289185776,2.36320948160463,971.011936344374,0,0.196903729869863,20.3723446021715,0.0569517032655894,25.9895069345814,0.167358904914945,38.6950504218892,0.0836661661155315,-17.8423614287602,0.0880607130120962,47.9495800047222,0.251183579539292,101203.021748188,0.0392197545221012,52282.4754934199,0.0799563365852524,81138.7311907991,0.111323872849973,46784.5874296187,0.179474234176981,46603.858676338,0.289954658375956,101618.054172778,0.042463251026953,52957.9299641225,0.107965339639582,82636.0381179517,0.118323900202445,47102.9372909732,0.18722892335318,48903.0208989672,-192.825359771927
25,0,1,Inf,500,0.863969693311156,1538.43436546378,2.28524490122312,621.660538922134,0.44202271492791,8749.00542977543,0.613155750589283,3102.43153880509,0.8625080172342,806.129636123668,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.458560180681854,230.894655833521,1.63332833428599,311.145402637794,-0.156179541716352,344.631910031567,-0.0727468339853586,315.117994843305,0.39846181013161,92.0848633502735,1.42150715521068,1650.41187990525,3.12098060781323,939.278596549512,1.16198815574241,1879.07923849881,1.4084757914454,1779.09621358159,1.27387975129284,1172.00363458243,0,0.0554034823198198,107.16170458444,-0.0118855094270676,6.28036477451451,0.13019172305972,63.3617141772609,0.127274483990473,80.6847624004046,0.0592273467404888,61.1976400008046,0.0602253196765681,130874.700537208,0.143739863646242,25625.8250481518,0.11285367274568,152924.947026244,0.1425000583997,139201.398500462,0.0497743106371081,75745.4496898874,0.0632948655297306,142358.33146665,0.143881128980583,25665.2680298528,0.129803557498938,156939.653849725,0.158698852674741,145711.429384072,0.0532821892390262,79490.6008315555,-189.91853696113
25,0,1,Inf,500,0.877159756738838,2332.36192213238,0.594655856148234,2776.96366084797,1.50190707505457,590.692855053219,0.476856823975908,201008.950895045,3.03288815766205,1130.35451664212,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0596784609325062,836.599312745037,0.0557648640181373,577.310827234849,0.722810075739582,369.71122693543,0.087384746149296,1433.5761232582,1.5890838766828,917.968199576293,1.60149757818468,2265.41780553094,1.06820190503883,2049.35171380783,2.23131336162581,859.39642033656,2.49912151690147,2425.06514015672,2.8670809084572,2144.24745435646,0,0.187450775615127,-48.1978705528616,0.127782451755477,6.64690512695624,0.0822975856058367,-2.0281186254242,0.190294484474968,12.6385838020293,0.111610556277967,-20.7257187795468,0.154397840031704,132595.410744777,0.0665748841947645,140738.88748652,0.147797432252061,15574.2919961711,0.377775838154528,63848.4242238908,0.106080133647196,97668.1879939829,0.189535633310417,134918.445470607,0.0829032391714054,140783.068834287,0.154570324848611,15578.4052613299,0.413987828976122,64008.1580244118,0.118537049919873,98097.7434129118,-196.041573895539
25,0,1,Inf,500,0.645812257788836,9801.5329459343,1.35554358719935,850.348592637547,1.01007182633866,569.255562842508,1.25503082887258,1080.83473167997,0.931901733036718,1591.50321700297,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-0.369598928262912,1369.08811210144,0.404196796566426,100.043566948021,0.271091320198558,212.483213189174,0.359119749823117,413.742834684406,0.0305917672318519,690.369436388891,1.77954912429296,2632.4729776898,2.02418989079298,1427.20613015918,1.68617851640736,818.698899908492,1.80754332887198,1728.84185285626,1.57215525006517,2037.6519815868,0,0.319544895060598,-206.282186381033,0.150394698520112,71.8768527058665,0.0703618212003152,26.3187085464049,0.178581281084656,-6.88471686136652,0.22168521637068,-125.87414930152,0.29999017900888,103668.235839157,0.170451447766515,114399.101376622,0.130059107920311,23868.6968301702,0.136259107564618,112328.840247042,0.154346645790247,117894.008541945,0.402099118968168,146220.576257296,0.193070013109471,119565.383331523,0.135009893802936,24561.3712497208,0.168150381518455,112376.239573304,0.203490980947562,133738.310004326,-196.914792888472
25,0,1,Inf,500,1.10328655237565,811.504140627035,2.09199577926249,552.916475831069,0.832099740926283,688.702200301081,1.83172444158251,530.563269425879,5.19060709475138,459.856056962484,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.332944059028674,278.566918243032,0.861284849966619,-86.0687942758891,0.370819089760608,238.804704630833,0.951984008888733,73.3920854608084,1.80654791106928,-201.628526248098,1.58012353847816,1336.93076227079,2.273116207371,1086.59946399656,1.17404538558257,1053.4599312534,1.98602218521559,960.420799661186,2.97905293179146,1039.52072495052,0,0.106273532124341,9.51623324173451,0.0939092385470235,138.868640854724,0.0496313347663767,5.07426669332704,0.0358845056221123,72.2590206017293,0.0267003509783354,159.088174595505,0.101025796000299,72751.9030186124,0.129461315286685,89315.0627359739,0.0419034907953876,43104.4456613006,0.0694460444592468,51103.3917444451,0.0892901988289152,100051.219639627,0.112319859630482,72842.4617137234,0.138280260371167,108599.562148812,0.0443667601860798,43130.1938437756,0.0707337422029902,56324.7578027663,0.0900031075712815,125360.266935756,-186.981048476223
25,0,1,Inf,500,2.39867215982369,594.014288584578,0.801553166968786,1546.29226087779,1.29416160647423,563.158689405567,3.36238383215226,492.768948036566,0.946605825837411,2024.32399248478,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1.55354417894634,-131.59052520286,0.116575994307781,483.203021598805,0.188912091344922,278.459962634838,2.06248926107588,-52.8425043553783,0.183894835090729,805.892961348,2.49758650468909,1151.71673592217,1.48315832004558,1599.74011501797,1.81083068078234,1011.25143328845,3.39766178035963,794.198243454943,1.83794757427332,1830.06908613777,0,-0.0805087402973578,157.064753102193,0.131914401666566,-21.8936232400067,0.177064431085604,-24.8025962375287,-0.290907569515244,127.512329194104,0.188266564714709,-95.6110091367895,0.0578838354440229,106963.516213504,0.121295856958849,80969.3549307748,0.170856879735259,34876.6834292738,0.115784157007868,46599.684248651,0.177694126796345,68127.6898948414,0.0643654927082903,131632.852880557,0.138697266325897,81448.6856693501,0.202208692490927,35491.8522093956,0.200411371009134,62859.0783451566,0.213138426185823,77269.1549629967,-191.87291991337
25,0,1,Inf,500,1.7059601979335,578.695275734237,0.973772829138425,815.642024086392,0.633579811016293,2453.217607687,1.88219091540713,883.734666038196,1.37180178577356,1175.57519871094,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.10901961161741,221.13025634864,0.354284759870005,378.16206927036,0.302819000070045,513.780215119311,0.77582870928948,179.688366465967,0.209246803222352,393.642338454733,2.14265510975025,1098.93268369881,1.47758328801994,1296.55219978738,1.283665587871,1741.71603750372,2.13123296704776,1646.5873295682,2.08176174307644,1616.14887845796,0,-0.000425363268923399,-15.2979208778126,0.0682558375236232,-18.3975665938588,0.045180736016529,-4.97169463061415,0.187423955624429,74.993885357948,0.277728671140984,34.8889823609267,0.069391967224164,50045.8330515154,0.0819529795160988,54780.8521617388,0.062485110055773,97932.2440618513,0.119319674251648,139757.386649955,0.22773246694237,97068.1494641441,0.0693921481580746,50279.8594346993,0.0866118388721501,55119.3226183143,0.0645264089627683,97956.9618093514,0.154447413393556,145381.469491036,0.304865681716107,98285.3905543252,-195.259452196842
25,0,1,Inf,500,1.31895427726743,1073.34679976402,1.02036446332469,1204.05454412236,0.99823953203414,884.790241641328,2.75402144374261,828.228592517988,1.88525546848426,583.70209446727,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.260805528012769,437.67027888473,-0.0725787682920211,505.409650060031,0.367875301284879,309.061747547529,1.10847441014269,496.53203411349,0.917255021408708,283.209303214807,1.94718808730108,1625.05643143833,1.84241665030701,1632.22527276991,1.53366118653033,1372.86877070606,2.3018124679362,1951.07697955182,2.20429696622276,977.107316883366,0,0.205067756834427,10.1517384671896,0.205290762430043,-30.5842571420747,0.0865852978891787,10.5663783929175,0.17947914798133,37.1666764666035,0.123321182923396,-1.55689564461015,0.184708368387925,91571.0781504124,0.238182498445179,82466.9793322759,0.0882697615727634,73502.155331727,0.092491399431508,137413.265041982,0.107586993049987,31272.7200066404,0.226761153281028,91674.1359443187,0.280326795584287,83402.3761172085,0.0957667753833212,73613.8036840693,0.124704163991612,138794.626881555,0.122795107207613,31275.1439306886,-198.004361275547
25,0,0.75,311.586721566695,500,0.899752321542852,6752.81890743437,1.05654012355894,649.352157870279,2.03313344135922,409.70682236979,0.658544306389542,23819.0265710636,1.33130174304914,997.743304397799,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.103039382405556,788.236402313896,0.338270651869842,216.152552058532,0.984005047743477,70.5133537426407,-0.0386973439048792,917.618904219721,0.495151538616999,409.505530273205,2.32673359270466,1717.91352270676,1.61390592282789,1123.83130709673,2.56067893792081,713.010079641099,2.2762478533914,1693.44290964984,1.88845426079692,1359.96947184034,0,0.32513961618471,96.106412331193,0.0618126479647165,8.57493330421315,-0.0676441916157814,52.8763585110276,0.312029019415686,79.6114658389474,0.172482204024789,22.173081692232,0.321162254977929,56135.6368340393,0.105688420052472,53510.4630351358,0.161457461257304,26811.1971216066,0.348061346846987,39093.1615868715,0.126085556367661,58673.9948866607,0.42687802499067,65372.0793252126,0.109509223500882,53583.9925163075,0.166033197916656,29607.1064109933,0.445423455804502,45431.1470798974,0.155835667072911,59165.6404383911,-147.509000334662
25,0,0.75,311.586721566695,500,2.47405013895752,632.104459537745,0.962325841884413,5545.72566114495,2.57673625626584,466.708540678686,1.31879884883479,449.636951646765,3.03921434382944,430.086500008802,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.842998680501315,413.036964298115,0.560129701300636,764.522050547324,1.00210489560038,248.885892446887,0.398029418959214,294.006882201345,1.13299353538687,153.424039579102,2.17994647226325,1678.72137865126,2.52928648848776,1652.87013956464,1.87994986194885,1231.56328909822,1.61606559606469,955.290872212485,2.10877136647895,1071.84512452041,0,0.175417666989728,27.7847977015118,0.163222856339727,90.0335539777631,0.143103877125072,-6.76115802407012,0.0832435260318913,-61.1070581892452,0.155373490387297,17.2193327756619,0.116092259631394,104045.962568337,0.251845944226522,51255.5281318812,0.0500506836901668,62718.5921508537,0.096359545526294,28402.0955830073,0.0618409655845119,54784.5450113488,0.146863617523513,104817.957551651,0.278487645058221,59361.5689737479,0.0705294033383945,62764.3054086801,0.103289030152516,32136.1681435511,0.0859818870996434,55081.0504325878,-152.635594082155
25,0,0.75,311.586721566695,500,1.41845901504671,678.23684832954,1.37393473672435,522.888601519365,5.34613453353181,4216.00086901892,1.11998368651561,1689.81848865835,1.01109823317585,611.237759833594,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.62762354777576,93.2449174092063,0.703932295027572,-83.759705511845,2.77384969200808,1714.09896244166,0.174334733477004,655.287646269051,0.738794382395358,106.24520490971,1.90862837143965,1187.49027180459,2.32454057402431,836.257755753485,3.47980888083122,2135.69043681841,1.91051649012793,1754.78394035118,1.35979991736584,980.729879923824,0,0.0629937770912397,93.4399791115533,-0.0940318756479241,124.473293498809,-0.338813296890392,-186.812964815041,0.27335799458876,-17.0993408221307,-0.0149759810562533,44.7156617777979,0.106580044715782,77768.512276329,0.170580928620448,54975.1607530182,0.0323693187111523,11544.044906134,0.195778386438597,78516.676399055,0.0250475533306318,49668.2403459272,0.110548260668003,86499.5419726965,0.179422922258314,70468.7615474588,0.147163768860889,46443.1287291198,0.270502979644186,78809.0638556064,0.025271833339229,51667.7307541536,-146.124035650002
25,0,0.75,311.586721566695,500,1.40426650576682,534.833580513484,0.951713237424044,800.775337840358,0.645503443450407,1188.01628938558,1.85101747707054,735.141663967331,0.637449898492802,6813.10158161344,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.273906638615988,196.438725690516,0.260805545111756,284.3655994303,0.350066233840257,366.526236889713,0.610917781672315,198.069292118469,-0.269580801550729,635.491799822522,1.80364984105085,1138.74992833296,1.41839451593039,1315.40662664859,1.08689165758814,1304.00671403458,1.92025745886271,1586.08017118829,1.99533301713713,1516.53320704094,0,0.145551560497257,-6.74745974837824,0.113218959262045,-9.75657064642721,0.0221156729796103,-12.5328623533931,0.221250490388245,67.7060446694993,0.218036123458752,31.2979245810475,0.151988746064631,57671.7428966265,0.0870328346164969,69044.050589096,0.0352617265316131,57081.9541922899,0.111347129394411,125129.614930242,0.333179084810934,50415.8400148467,0.173174002827818,57717.2711096825,0.0998513673528775,69139.2412598747,0.0357508295229542,57239.026831059,0.16029890889145,129713.72341503,0.380718835943854,51395.4000979277,-152.920223775158
